Metadata_Plate,Metadata_split,Batch,s3_plate_dir,s3_path,local_path,resolved
BR00116991,train,2020_11_04_CPJUMP1,BR00116991__2020-11-05T19_51_35-Measurement1,s3://cellpainting-gallery/cpg0000-jump-pilot/source_4/images/2020_11_04_CPJUMP1/images/BR00116991__2020-11-05T19_51_35-Measurement1/Images/,/workspace/data/cpjump1/images/2020_11_04_CPJUMP1/BR00116991/Images,True
BR00116992,train,2020_11_04_CPJUMP1,BR00116992__2020-11-05T21_31_31-Measurement1,s3://cellpainting-gallery/cpg0000-jump-pilot/source_4/images/2020_11_04_CPJUMP1/images/BR00116992__2020-11-05T21_31_31-Measurement1/Images/,/workspace/data/cpjump1/images/2020_11_04_CPJUMP1/BR00116992/Images,True
BR00116995,train,2020_11_04_CPJUMP1,BR00116995__2020-11-06T02_41_05-Measurement1,s3://cellpainting-gallery/cpg0000-jump-pilot/source_4/images/2020_11_04_CPJUMP1/images/BR00116995__2020-11-06T02_41_05-Measurement1/Images/,/workspace/data/cpjump1/images/2020_11_04_CPJUMP1/BR00116995/Images,True
BR00117024,train,2020_11_04_CPJUMP1,BR00117024__2020-11-06T04_20_37-Measurement1,s3://cellpainting-gallery/cpg0000-jump-pilot/source_4/images/2020_11_04_CPJUMP1/images/BR00117024__2020-11-06T04_20_37-Measurement1/Images/,/workspace/data/cpjump1/images/2020_11_04_CPJUMP1/BR00117024/Images,True
BR00117020,train,2020_11_04_CPJUMP1,BR00117020__2020-11-04T20_45_03-Measurement1,s3://cellpainting-gallery/cpg0000-jump-pilot/source_4/images/2020_11_04_CPJUMP1/images/BR00117020__2020-11-04T20_45_03-Measurement1/Images/,/workspace/data/cpjump1/images/2020_11_04_CPJUMP1/BR00117020/Images,True
BR00117022,train,2020_11_04_CPJUMP1,BR00117022__2020-11-05T14_43_33-Measurement1,s3://cellpainting-gallery/cpg0000-jump-pilot/source_4/images/2020_11_04_CPJUMP1/images/BR00117022__2020-11-05T14_43_33-Measurement1/Images/,/workspace/data/cpjump1/images/2020_11_04_CPJUMP1/BR00117022/Images,True
BR00118041,train,2020_11_04_CPJUMP1,BR00118041__2020-11-05T03_24_00-Measurement1,s3://cellpainting-gallery/cpg0000-jump-pilot/source_4/images/2020_11_04_CPJUMP1/images/BR00118041__2020-11-05T03_24_00-Measurement1/Images/,/workspace/data/cpjump1/images/2020_11_04_CPJUMP1/BR00118041/Images,True
BR00118042,train,2020_11_04_CPJUMP1,BR00118042__2020-11-04T22_24_50-Measurement1,s3://cellpainting-gallery/cpg0000-jump-pilot/source_4/images/2020_11_04_CPJUMP1/images/BR00118042__2020-11-04T22_24_50-Measurement1/Images/,/workspace/data/cpjump1/images/2020_11_04_CPJUMP1/BR00118042/Images,True
BR00118045,train,2020_11_04_CPJUMP1,BR00118045__2020-11-03T05_49_34-Measurement1,s3://cellpainting-gallery/cpg0000-jump-pilot/source_4/images/2020_11_04_CPJUMP1/images/BR00118045__2020-11-03T05_49_34-Measurement1/Images/,/workspace/data/cpjump1/images/2020_11_04_CPJUMP1/BR00118045/Images,True
BR00118046,train,2020_11_04_CPJUMP1,BR00118046__2020-11-03T00_51_55-Measurement1,s3://cellpainting-gallery/cpg0000-jump-pilot/source_4/images/2020_11_04_CPJUMP1/images/BR00118046__2020-11-03T00_51_55-Measurement1/Images/,/workspace/data/cpjump1/images/2020_11_04_CPJUMP1/BR00118046/Images,True
BR00116993,val,2020_11_04_CPJUMP1,BR00116993__2020-11-05T23_11_39-Measurement1,s3://cellpainting-gallery/cpg0000-jump-pilot/source_4/images/2020_11_04_CPJUMP1/images/BR00116993__2020-11-05T23_11_39-Measurement1/Images/,/workspace/data/cpjump1/images/2020_11_04_CPJUMP1/BR00116993/Images,True
BR00117025,val,2020_11_04_CPJUMP1,BR00117025__2020-11-06T06_00_19-Measurement1,s3://cellpainting-gallery/cpg0000-jump-pilot/source_4/images/2020_11_04_CPJUMP1/images/BR00117025__2020-11-06T06_00_19-Measurement1/Images/,/workspace/data/cpjump1/images/2020_11_04_CPJUMP1/BR00117025/Images,True
BR00118043,val,2020_11_04_CPJUMP1,BR00118043__2020-11-05T18_12_02-Measurement2,s3://cellpainting-gallery/cpg0000-jump-pilot/source_4/images/2020_11_04_CPJUMP1/images/BR00118043__2020-11-05T18_12_02-Measurement2/Images/,/workspace/data/cpjump1/images/2020_11_04_CPJUMP1/BR00118043/Images,True
BR00118047,val,2020_11_04_CPJUMP1,BR00118047__2020-11-03T02_31_55-Measurement1,s3://cellpainting-gallery/cpg0000-jump-pilot/source_4/images/2020_11_04_CPJUMP1/images/BR00118047__2020-11-03T02_31_55-Measurement1/Images/,/workspace/data/cpjump1/images/2020_11_04_CPJUMP1/BR00118047/Images,True
BR00116994,test,2020_11_04_CPJUMP1,BR00116994__2020-11-06T00_59_44-Measurement1,s3://cellpainting-gallery/cpg0000-jump-pilot/source_4/images/2020_11_04_CPJUMP1/images/BR00116994__2020-11-06T00_59_44-Measurement1/Images/,/workspace/data/cpjump1/images/2020_11_04_CPJUMP1/BR00116994/Images,True
BR00117026,test,2020_11_04_CPJUMP1,BR00117026__2020-11-06T07_39_45-Measurement1,s3://cellpainting-gallery/cpg0000-jump-pilot/source_4/images/2020_11_04_CPJUMP1/images/BR00117026__2020-11-06T07_39_45-Measurement1/Images/,/workspace/data/cpjump1/images/2020_11_04_CPJUMP1/BR00117026/Images,True
BR00117021,test,2020_11_04_CPJUMP1,BR00117021__2020-11-04T19_05_14-Measurement2,s3://cellpainting-gallery/cpg0000-jump-pilot/source_4/images/2020_11_04_CPJUMP1/images/BR00117021__2020-11-04T19_05_14-Measurement2/Images/,/workspace/data/cpjump1/images/2020_11_04_CPJUMP1/BR00117021/Images,True
BR00117023,test,2020_11_04_CPJUMP1,BR00117023__2020-11-05T16_32_08-Measurement1,s3://cellpainting-gallery/cpg0000-jump-pilot/source_4/images/2020_11_04_CPJUMP1/images/BR00117023__2020-11-05T16_32_08-Measurement1/Images/,/workspace/data/cpjump1/images/2020_11_04_CPJUMP1/BR00117023/Images,True
BR00118044,test,2020_11_04_CPJUMP1,BR00118044__2020-11-03T23_15_33-Measurement1,s3://cellpainting-gallery/cpg0000-jump-pilot/source_4/images/2020_11_04_CPJUMP1/images/BR00118044__2020-11-03T23_15_33-Measurement1/Images/,/workspace/data/cpjump1/images/2020_11_04_CPJUMP1/BR00118044/Images,True
BR00118048,test,2020_11_04_CPJUMP1,BR00118048__2020-11-03T04_10_30-Measurement1,s3://cellpainting-gallery/cpg0000-jump-pilot/source_4/images/2020_11_04_CPJUMP1/images/BR00118048__2020-11-03T04_10_30-Measurement1/Images/,/workspace/data/cpjump1/images/2020_11_04_CPJUMP1/BR00118048/Images,True
