Metadata_Plate,Metadata_split,Batch,s3_plate_dir,s3_path,local_path,resolved
BR00116991,train,2020_11_04_CPJUMP1,,,/workspace/data/cpjump1/images/2020_11_04_CPJUMP1/BR00116991/Images,False
BR00116992,train,2020_11_04_CPJUMP1,,,/workspace/data/cpjump1/images/2020_11_04_CPJUMP1/BR00116992/Images,False
BR00117015,train,2020_11_04_CPJUMP1,,,/workspace/data/cpjump1/images/2020_11_04_CPJUMP1/BR00117015/Images,False
BR00117016,train,2020_11_04_CPJUMP1,,,/workspace/data/cpjump1/images/2020_11_04_CPJUMP1/BR00117016/Images,False
BR00116995,train,2020_11_04_CPJUMP1,,,/workspace/data/cpjump1/images/2020_11_04_CPJUMP1/BR00116995/Images,False
BR00117024,train,2020_11_04_CPJUMP1,,,/workspace/data/cpjump1/images/2020_11_04_CPJUMP1/BR00117024/Images,False
BR00117010,train,2020_11_04_CPJUMP1,,,/workspace/data/cpjump1/images/2020_11_04_CPJUMP1/BR00117010/Images,False
BR00117011,train,2020_11_04_CPJUMP1,,,/workspace/data/cpjump1/images/2020_11_04_CPJUMP1/BR00117011/Images,False
BR00116993,val,2020_11_04_CPJUMP1,,,/workspace/data/cpjump1/images/2020_11_04_CPJUMP1/BR00116993/Images,False
BR00117017,val,2020_11_04_CPJUMP1,,,/workspace/data/cpjump1/images/2020_11_04_CPJUMP1/BR00117017/Images,False
BR00117025,val,2020_11_04_CPJUMP1,,,/workspace/data/cpjump1/images/2020_11_04_CPJUMP1/BR00117025/Images,False
BR00117012,val,2020_11_04_CPJUMP1,,,/workspace/data/cpjump1/images/2020_11_04_CPJUMP1/BR00117012/Images,False
BR00116994,test,2020_11_04_CPJUMP1,,,/workspace/data/cpjump1/images/2020_11_04_CPJUMP1/BR00116994/Images,False
BR00117019,test,2020_11_04_CPJUMP1,,,/workspace/data/cpjump1/images/2020_11_04_CPJUMP1/BR00117019/Images,False
BR00117026,test,2020_11_04_CPJUMP1,,,/workspace/data/cpjump1/images/2020_11_04_CPJUMP1/BR00117026/Images,False
BR00117013,test,2020_11_04_CPJUMP1,,,/workspace/data/cpjump1/images/2020_11_04_CPJUMP1/BR00117013/Images,False
