Metadata_Plate,Metadata_Well,Metadata_split,Metadata_Batch,Metadata_Perturbation,Metadata_Cell_type,Metadata_Time,Metadata_broad_sample,Metadata_control_type,Metadata_solvent,Metadata_pert_iname,Metadata_target,Metadata_target_list,Metadata_moa_list,Metadata_purity,Metadata_pert_type,Metadata_pubchem_cid,Metadata_smiles
BR00117010,A01,train,2020_11_04_CPJUMP1,compound,U2OS,48,BRD-A86665761-001-01-1,trt,DMSO,gabapentin-enacarbil,CACNB4,CACNA1A|CACNA1B|CACNA1C|CACNA1D|CACNA1E|CACNA1F|CACNA1G|CACNA1H|CACNA1I|CACNA1S|CACNA2D1|CACNA2D2|CACNA2D3|CACNA2D4|CACNB1|CACNB2|CACNB3|CACNB4|CACNG1|CACNG2|CACNG3|CACNG4|CACNG5|CACNG6|CACNG7|CACNG8,adrenergic receptor agonist,7.6,trt,9883933.0,CC(C)C(=O)OC(C)OC(=O)NCC1(CC(O)=O)CCCCC1
BR00117010,A02,train,2020_11_04_CPJUMP1,compound,U2OS,48,DMSO,negcon,DMSO,,,,,,,,
BR00117010,A03,train,2020_11_04_CPJUMP1,compound,U2OS,48,BRD-A22032524-074-09-9,trt,DMSO,amlodipine,CACNA2D3,CA1|CACNA1B|CACNA1C|CACNA1D|CACNA1F|CACNA1S|CACNA2D1|CACNA2D3|CACNB1|CACNB2|SMPD1,calcium channel blocker,97.4,trt,2162.0,CCOC(=O)C1=C(COCCN)NC(C)=C(C1c1ccccc1Cl)C(=O)OC
BR00117010,A04,train,2020_11_04_CPJUMP1,compound,U2OS,48,BRD-A01078468-001-14-8,trt,DMSO,hexestrol,AKR1C1,AKR1C1|ESR1|ESR2,synthetic estrogen,84.3,trt,3606.0,CCC(C(CC)c1ccc(O)cc1)c1ccc(O)cc1
BR00117010,A05,train,2020_11_04_CPJUMP1,compound,U2OS,48,BRD-K48278478-001-01-2,trt,DMSO,quinine,KCNN4,GP9|KCNB2|KCNN4|SLC29A4,hemozoin biocrystallization inhibitor,88.7,trt,94175.0,COc1ccc2nccc([C@@H](O)[C@H]3C[C@@H]4CC[N@]3C[C@@H]4C=C)c2c1
BR00117010,A06,train,2020_11_04_CPJUMP1,compound,U2OS,48,BRD-K36574127-001-01-3,trt,DMSO,LOXO-101,NTRK1,NTRK1|NTRK2|NTRK3,tropomyosin receptor kinase inhibitor,94.6,trt,46188928.0,O[C@H]1CCN(C1)C(=O)Nc1cnn2ccc(nc12)N1CCC[C@@H]1c1cc(F)ccc1F
BR00117010,A07,train,2020_11_04_CPJUMP1,compound,U2OS,48,BRD-K74913225-001-14-0,trt,DMSO,brinzolamide,CA5A,CA1|CA12|CA14|CA2|CA4|CA5A|CA7,carbonic anhydrase inhibitor,0.0,trt,68844.0,CCN[C@H]1CN(CCCOC)S(=O)(=O)c2sc(cc12)S(N)(=O)=O
BR00117010,A08,train,2020_11_04_CPJUMP1,compound,U2OS,48,BRD-K94342292-001-01-3,trt,DMSO,NS-11021,KCNMA1,KCNMA1,calcium-activated potassium channel activator,0.0,trt,24825677.0,FC(F)(F)c1cc(NC(=S)Nc2ccc(Br)cc2-c2nnn[nH]2)cc(c1)C(F)(F)F
BR00117010,A09,train,2020_11_04_CPJUMP1,compound,U2OS,48,DMSO,negcon,DMSO,,,,,,,,
BR00117010,A10,train,2020_11_04_CPJUMP1,compound,U2OS,48,BRD-K19975102-001-01-2,trt,DMSO,GNF-5837,NTRK1,NTRK1|NTRK2|NTRK3,growth factor receptor inhibitor,75.8,trt,59397065.0,Cc1ccc(NC(=O)Nc2cc(ccc2F)C(F)(F)F)cc1Nc1ccc2c(NC(=O)\C2=C/c2ccc[nH]2)c1
