model,input_transform,condition,cell,modality,mean_ap,median_ap,n_queries
dinov2-vitb14,negcon_zscore_l2,A549_compound_to_crispr,A549,compound->crispr,0.0331596578660879,0.0152729384436701,611
dinov2-vitb14,negcon_zscore_l2,A549_compound_to_orf,A549,compound->orf,0.0356398913962261,0.0158730158730158,466
dinov2-vitb14,negcon_zscore_l2,U2OS_compound_to_crispr,U2OS,compound->crispr,0.0339318875112518,0.0148462188458764,611
dinov2-vitb14,negcon_zscore_l2,U2OS_compound_to_orf,U2OS,compound->orf,0.0398983975771404,0.0169491525423728,466
dinov2-vitb14,plate_zscore_l2,A549_compound_to_crispr,A549,compound->crispr,0.0347482689152412,0.0154928344377996,611
dinov2-vitb14,plate_zscore_l2,A549_compound_to_orf,A549,compound->orf,0.0356723691471382,0.0151515151515151,466
dinov2-vitb14,plate_zscore_l2,U2OS_compound_to_crispr,U2OS,compound->crispr,0.0319399706149472,0.0143692358366271,611
dinov2-vitb14,plate_zscore_l2,U2OS_compound_to_orf,U2OS,compound->orf,0.0427777094575663,0.0164022634153225,466
dinov2-vitb14,raw_l2,A549_compound_to_crispr,A549,compound->crispr,0.0338389116924464,0.014729867482161,611
dinov2-vitb14,raw_l2,A549_compound_to_orf,A549,compound->orf,0.0305243102465309,0.0151515151515151,466
dinov2-vitb14,raw_l2,U2OS_compound_to_crispr,U2OS,compound->crispr,0.0269229056522937,0.0147952090410632,611
dinov2-vitb14,raw_l2,U2OS_compound_to_orf,U2OS,compound->orf,0.0353612944046352,0.0158225529655478,466
dinov2-vits14,negcon_zscore_l2,A549_compound_to_crispr,A549,compound->crispr,0.0342700061607661,0.015095174856131,611
dinov2-vits14,negcon_zscore_l2,A549_compound_to_orf,A549,compound->orf,0.0366242895346542,0.0151755760875543,466
dinov2-vits14,negcon_zscore_l2,U2OS_compound_to_crispr,U2OS,compound->crispr,0.0355214860109079,0.0147302866368117,611
dinov2-vits14,negcon_zscore_l2,U2OS_compound_to_orf,U2OS,compound->orf,0.0393896496489677,0.0161258991904153,466
dinov2-vits14,plate_zscore_l2,A549_compound_to_crispr,A549,compound->crispr,0.0376003419115223,0.015324452886551,611
dinov2-vits14,plate_zscore_l2,A549_compound_to_orf,A549,compound->orf,0.0364407355106638,0.0151478531364726,466
dinov2-vits14,plate_zscore_l2,U2OS_compound_to_crispr,U2OS,compound->crispr,0.0357003936111846,0.0148989450852804,611
dinov2-vits14,plate_zscore_l2,U2OS_compound_to_orf,U2OS,compound->orf,0.0399075918502356,0.0157687618426366,466
dinov2-vits14,raw_l2,A549_compound_to_crispr,A549,compound->crispr,0.0331092909538921,0.0143561518174521,611
dinov2-vits14,raw_l2,A549_compound_to_orf,A549,compound->orf,0.0306605372735485,0.0148741187267166,466
dinov2-vits14,raw_l2,U2OS_compound_to_crispr,U2OS,compound->crispr,0.0318311633276074,0.0152201390351801,611
dinov2-vits14,raw_l2,U2OS_compound_to_orf,U2OS,compound->orf,0.0330526734778845,0.0153846153846153,466
