model,input_transform,run_dir,task,condition,cell,modality,metric,mean_ap,median_ap,n_queries,n_groups
dinov2-vitb14,negcon_zscore_l2,dinov2_vitb14_multimodal_short_20plate_multimodal_negcon_zscore_l2,perturbation_retrieval,A549_compound,A549,compound,replicate_retrieval,0.2928922494483006,0.059465424463214,1280,306
dinov2-vitb14,negcon_zscore_l2,dinov2_vitb14_multimodal_short_20plate_multimodal_negcon_zscore_l2,perturbation_retrieval,A549_compound,A549,compound,negcon_challenge,0.4793727988230022,0.3677454659161976,1280,306
dinov2-vitb14,negcon_zscore_l2,dinov2_vitb14_multimodal_short_20plate_multimodal_negcon_zscore_l2,within_modality_matching,A549_compound,A549,compound,within_modality_matching,0.0817749036227593,0.0297866863637141,302,262
dinov2-vitb14,negcon_zscore_l2,dinov2_vitb14_multimodal_short_20plate_multimodal_negcon_zscore_l2,perturbation_retrieval,A549_crispr,A549,crispr,replicate_retrieval,0.040602117017906,0.0105169895711279,1280,305
dinov2-vitb14,negcon_zscore_l2,dinov2_vitb14_multimodal_short_20plate_multimodal_negcon_zscore_l2,perturbation_retrieval,A549_crispr,A549,crispr,negcon_challenge,0.2129309624458593,0.1000496149876954,1280,305
dinov2-vitb14,negcon_zscore_l2,dinov2_vitb14_multimodal_short_20plate_multimodal_negcon_zscore_l2,within_modality_matching,A549_crispr,A549,crispr,within_modality_matching,0.0590397231974335,0.0078125,290,145
dinov2-vitb14,negcon_zscore_l2,dinov2_vitb14_multimodal_short_20plate_multimodal_negcon_zscore_l2,perturbation_retrieval,A549_orf,A549,orf,replicate_retrieval,0.071623167810499,0.0198603507211953,640,160
dinov2-vitb14,negcon_zscore_l2,dinov2_vitb14_multimodal_short_20plate_multimodal_negcon_zscore_l2,perturbation_retrieval,A549_orf,A549,orf,negcon_challenge,0.1874991551854957,0.1026785714285714,640,160
dinov2-vitb14,negcon_zscore_l2,dinov2_vitb14_multimodal_short_20plate_multimodal_negcon_zscore_l2,within_modality_matching,A549_orf,A549,orf,within_modality_matching,,,0,0
dinov2-vitb14,negcon_zscore_l2,dinov2_vitb14_multimodal_short_20plate_multimodal_negcon_zscore_l2,cross_modality_matching,A549_compound_to_crispr,A549,compound->crispr,cross_modality_matching,0.0331596578660879,0.0152729384436701,611,237
dinov2-vitb14,negcon_zscore_l2,dinov2_vitb14_multimodal_short_20plate_multimodal_negcon_zscore_l2,cross_modality_matching,A549_compound_to_orf,A549,compound->orf,cross_modality_matching,0.0356398913962261,0.0158730158730158,466,237
dinov2-vitb14,negcon_zscore_l2,dinov2_vitb14_multimodal_short_20plate_multimodal_negcon_zscore_l2,perturbation_retrieval,U2OS_compound,U2OS,compound,replicate_retrieval,0.1926358891245144,0.0240153227364917,1280,306
dinov2-vitb14,negcon_zscore_l2,dinov2_vitb14_multimodal_short_20plate_multimodal_negcon_zscore_l2,perturbation_retrieval,U2OS_compound,U2OS,compound,negcon_challenge,0.3437609152598861,0.133388683275017,1280,306
dinov2-vitb14,negcon_zscore_l2,dinov2_vitb14_multimodal_short_20plate_multimodal_negcon_zscore_l2,within_modality_matching,U2OS_compound,U2OS,compound,within_modality_matching,0.0725709357466472,0.0256651604055192,302,262
dinov2-vitb14,negcon_zscore_l2,dinov2_vitb14_multimodal_short_20plate_multimodal_negcon_zscore_l2,perturbation_retrieval,U2OS_crispr,U2OS,crispr,replicate_retrieval,0.0594223307749662,0.0152750021056813,1280,305
dinov2-vitb14,negcon_zscore_l2,dinov2_vitb14_multimodal_short_20plate_multimodal_negcon_zscore_l2,perturbation_retrieval,U2OS_crispr,U2OS,crispr,negcon_challenge,0.2070067150784783,0.0898154445708793,1280,305
dinov2-vitb14,negcon_zscore_l2,dinov2_vitb14_multimodal_short_20plate_multimodal_negcon_zscore_l2,within_modality_matching,U2OS_crispr,U2OS,crispr,within_modality_matching,0.0517103399211278,0.0093466107617051,290,145
dinov2-vitb14,negcon_zscore_l2,dinov2_vitb14_multimodal_short_20plate_multimodal_negcon_zscore_l2,perturbation_retrieval,U2OS_orf,U2OS,orf,replicate_retrieval,0.1485794681829763,0.0258253968253968,640,160
dinov2-vitb14,negcon_zscore_l2,dinov2_vitb14_multimodal_short_20plate_multimodal_negcon_zscore_l2,perturbation_retrieval,U2OS_orf,U2OS,orf,negcon_challenge,0.2900271227146999,0.1277777777777777,640,160
dinov2-vitb14,negcon_zscore_l2,dinov2_vitb14_multimodal_short_20plate_multimodal_negcon_zscore_l2,within_modality_matching,U2OS_orf,U2OS,orf,within_modality_matching,,,0,0
dinov2-vitb14,negcon_zscore_l2,dinov2_vitb14_multimodal_short_20plate_multimodal_negcon_zscore_l2,cross_modality_matching,U2OS_compound_to_crispr,U2OS,compound->crispr,cross_modality_matching,0.0339318875112518,0.0148462188458764,611,237
dinov2-vitb14,negcon_zscore_l2,dinov2_vitb14_multimodal_short_20plate_multimodal_negcon_zscore_l2,cross_modality_matching,U2OS_compound_to_orf,U2OS,compound->orf,cross_modality_matching,0.0398983975771404,0.0169491525423728,466,237
dinov2-vitb14,plate_zscore_l2,dinov2_vitb14_multimodal_short_20plate_multimodal_plate_zscore_l2,perturbation_retrieval,A549_compound,A549,compound,replicate_retrieval,0.3110958447288482,0.0715334442955926,1280,306
dinov2-vitb14,plate_zscore_l2,dinov2_vitb14_multimodal_short_20plate_multimodal_plate_zscore_l2,perturbation_retrieval,A549_compound,A549,compound,negcon_challenge,0.4628240706479454,0.3481171938109737,1280,306
dinov2-vitb14,plate_zscore_l2,dinov2_vitb14_multimodal_short_20plate_multimodal_plate_zscore_l2,within_modality_matching,A549_compound,A549,compound,within_modality_matching,0.0857540467357906,0.0333834480781853,302,262
dinov2-vitb14,plate_zscore_l2,dinov2_vitb14_multimodal_short_20plate_multimodal_plate_zscore_l2,perturbation_retrieval,A549_crispr,A549,crispr,replicate_retrieval,0.0446735123243585,0.011632377185696,1280,305
dinov2-vitb14,plate_zscore_l2,dinov2_vitb14_multimodal_short_20plate_multimodal_plate_zscore_l2,perturbation_retrieval,A549_crispr,A549,crispr,negcon_challenge,0.183655036488551,0.0703596319053308,1280,305
dinov2-vitb14,plate_zscore_l2,dinov2_vitb14_multimodal_short_20plate_multimodal_plate_zscore_l2,within_modality_matching,A549_crispr,A549,crispr,within_modality_matching,0.0629281543483717,0.0078432578740157,290,145
dinov2-vitb14,plate_zscore_l2,dinov2_vitb14_multimodal_short_20plate_multimodal_plate_zscore_l2,perturbation_retrieval,A549_orf,A549,orf,replicate_retrieval,0.0727646801628394,0.020531499455918,640,160
dinov2-vitb14,plate_zscore_l2,dinov2_vitb14_multimodal_short_20plate_multimodal_plate_zscore_l2,perturbation_retrieval,A549_orf,A549,orf,negcon_challenge,0.1853979627308599,0.0956944444444444,640,160
dinov2-vitb14,plate_zscore_l2,dinov2_vitb14_multimodal_short_20plate_multimodal_plate_zscore_l2,within_modality_matching,A549_orf,A549,orf,within_modality_matching,,,0,0
dinov2-vitb14,plate_zscore_l2,dinov2_vitb14_multimodal_short_20plate_multimodal_plate_zscore_l2,cross_modality_matching,A549_compound_to_crispr,A549,compound->crispr,cross_modality_matching,0.0347482689152412,0.0154928344377996,611,237
dinov2-vitb14,plate_zscore_l2,dinov2_vitb14_multimodal_short_20plate_multimodal_plate_zscore_l2,cross_modality_matching,A549_compound_to_orf,A549,compound->orf,cross_modality_matching,0.0356723691471382,0.0151515151515151,466,237
dinov2-vitb14,plate_zscore_l2,dinov2_vitb14_multimodal_short_20plate_multimodal_plate_zscore_l2,perturbation_retrieval,U2OS_compound,U2OS,compound,replicate_retrieval,0.2151198507226736,0.0321756931070209,1280,306
dinov2-vitb14,plate_zscore_l2,dinov2_vitb14_multimodal_short_20plate_multimodal_plate_zscore_l2,perturbation_retrieval,U2OS_compound,U2OS,compound,negcon_challenge,0.351109721442233,0.1303001418207603,1280,306
dinov2-vitb14,plate_zscore_l2,dinov2_vitb14_multimodal_short_20plate_multimodal_plate_zscore_l2,within_modality_matching,U2OS_compound,U2OS,compound,within_modality_matching,0.0747128527696795,0.0295198380582639,302,262
dinov2-vitb14,plate_zscore_l2,dinov2_vitb14_multimodal_short_20plate_multimodal_plate_zscore_l2,perturbation_retrieval,U2OS_crispr,U2OS,crispr,replicate_retrieval,0.0644587448822796,0.016159217352165,1280,305
dinov2-vitb14,plate_zscore_l2,dinov2_vitb14_multimodal_short_20plate_multimodal_plate_zscore_l2,perturbation_retrieval,U2OS_crispr,U2OS,crispr,negcon_challenge,0.2057381082717352,0.0850543635375471,1280,305
dinov2-vitb14,plate_zscore_l2,dinov2_vitb14_multimodal_short_20plate_multimodal_plate_zscore_l2,within_modality_matching,U2OS_crispr,U2OS,crispr,within_modality_matching,0.0517194196234779,0.011050061050061,290,145
dinov2-vitb14,plate_zscore_l2,dinov2_vitb14_multimodal_short_20plate_multimodal_plate_zscore_l2,perturbation_retrieval,U2OS_orf,U2OS,orf,replicate_retrieval,0.1491120107656519,0.0272569444444444,640,160
dinov2-vitb14,plate_zscore_l2,dinov2_vitb14_multimodal_short_20plate_multimodal_plate_zscore_l2,perturbation_retrieval,U2OS_orf,U2OS,orf,negcon_challenge,0.2935830169114628,0.1325892857142857,640,160
dinov2-vitb14,plate_zscore_l2,dinov2_vitb14_multimodal_short_20plate_multimodal_plate_zscore_l2,within_modality_matching,U2OS_orf,U2OS,orf,within_modality_matching,,,0,0
dinov2-vitb14,plate_zscore_l2,dinov2_vitb14_multimodal_short_20plate_multimodal_plate_zscore_l2,cross_modality_matching,U2OS_compound_to_crispr,U2OS,compound->crispr,cross_modality_matching,0.0319399706149472,0.0143692358366271,611,237
dinov2-vitb14,plate_zscore_l2,dinov2_vitb14_multimodal_short_20plate_multimodal_plate_zscore_l2,cross_modality_matching,U2OS_compound_to_orf,U2OS,compound->orf,cross_modality_matching,0.0427777094575663,0.0164022634153225,466,237
dinov2-vitb14,raw_l2,dinov2_vitb14_multimodal_short_20plate_multimodal_raw_l2,perturbation_retrieval,A549_compound,A549,compound,replicate_retrieval,0.2912857581898741,0.0616088850572935,1280,306
dinov2-vitb14,raw_l2,dinov2_vitb14_multimodal_short_20plate_multimodal_raw_l2,perturbation_retrieval,A549_compound,A549,compound,negcon_challenge,0.3870268691767421,0.1443272933591513,1280,306
dinov2-vitb14,raw_l2,dinov2_vitb14_multimodal_short_20plate_multimodal_raw_l2,within_modality_matching,A549_compound,A549,compound,within_modality_matching,0.083790604819302,0.0321558995244817,302,262
dinov2-vitb14,raw_l2,dinov2_vitb14_multimodal_short_20plate_multimodal_raw_l2,perturbation_retrieval,A549_crispr,A549,crispr,replicate_retrieval,0.0274566178661469,0.0084716035354954,1280,305
dinov2-vitb14,raw_l2,dinov2_vitb14_multimodal_short_20plate_multimodal_raw_l2,perturbation_retrieval,A549_crispr,A549,crispr,negcon_challenge,0.1006307992708364,0.0455090555723874,1280,305
dinov2-vitb14,raw_l2,dinov2_vitb14_multimodal_short_20plate_multimodal_raw_l2,within_modality_matching,A549_crispr,A549,crispr,within_modality_matching,0.0454053314646298,0.0081306187202538,290,145
dinov2-vitb14,raw_l2,dinov2_vitb14_multimodal_short_20plate_multimodal_raw_l2,perturbation_retrieval,A549_orf,A549,orf,replicate_retrieval,0.0592340058461145,0.0174027080344332,640,160
dinov2-vitb14,raw_l2,dinov2_vitb14_multimodal_short_20plate_multimodal_raw_l2,perturbation_retrieval,A549_orf,A549,orf,negcon_challenge,0.1641616842963716,0.0884037015615963,640,160
dinov2-vitb14,raw_l2,dinov2_vitb14_multimodal_short_20plate_multimodal_raw_l2,within_modality_matching,A549_orf,A549,orf,within_modality_matching,,,0,0
dinov2-vitb14,raw_l2,dinov2_vitb14_multimodal_short_20plate_multimodal_raw_l2,cross_modality_matching,A549_compound_to_crispr,A549,compound->crispr,cross_modality_matching,0.0338389116924464,0.014729867482161,611,237
