run,run_label,task,condition,cell,modality,metric,mean_ap,median_ap,n_queries,n_groups
frozen_B_plate_zscore,Frozen DINOv2-B/14 + plate z-score,perturbation_retrieval,A549_compound,A549,compound,replicate_retrieval,0.3110958447288482,0.0715334442955926,1280,306
frozen_B_plate_zscore,Frozen DINOv2-B/14 + plate z-score,perturbation_retrieval,A549_compound,A549,compound,negcon_challenge,0.4628240706479454,0.3481171938109737,1280,306
frozen_B_plate_zscore,Frozen DINOv2-B/14 + plate z-score,within_modality_matching,A549_compound,A549,compound,within_modality_matching,0.0857540467357906,0.0333834480781853,302,262
frozen_B_plate_zscore,Frozen DINOv2-B/14 + plate z-score,perturbation_retrieval,A549_crispr,A549,crispr,replicate_retrieval,0.0446735123243585,0.011632377185696,1280,305
frozen_B_plate_zscore,Frozen DINOv2-B/14 + plate z-score,perturbation_retrieval,A549_crispr,A549,crispr,negcon_challenge,0.183655036488551,0.0703596319053308,1280,305
frozen_B_plate_zscore,Frozen DINOv2-B/14 + plate z-score,within_modality_matching,A549_crispr,A549,crispr,within_modality_matching,0.0629281543483717,0.0078432578740157,290,145
frozen_B_plate_zscore,Frozen DINOv2-B/14 + plate z-score,perturbation_retrieval,A549_orf,A549,orf,replicate_retrieval,0.0727646801628394,0.020531499455918,640,160
frozen_B_plate_zscore,Frozen DINOv2-B/14 + plate z-score,perturbation_retrieval,A549_orf,A549,orf,negcon_challenge,0.1853979627308599,0.0956944444444444,640,160
frozen_B_plate_zscore,Frozen DINOv2-B/14 + plate z-score,within_modality_matching,A549_orf,A549,orf,within_modality_matching,,,0,0
frozen_B_plate_zscore,Frozen DINOv2-B/14 + plate z-score,cross_modality_matching,A549_compound_to_crispr,A549,compound->crispr,cross_modality_matching,0.0347482689152412,0.0154928344377996,611,237
frozen_B_plate_zscore,Frozen DINOv2-B/14 + plate z-score,cross_modality_matching,A549_compound_to_orf,A549,compound->orf,cross_modality_matching,0.0356723691471382,0.0151515151515151,466,237
frozen_B_plate_zscore,Frozen DINOv2-B/14 + plate z-score,perturbation_retrieval,U2OS_compound,U2OS,compound,replicate_retrieval,0.2151198507226736,0.0321756931070209,1280,306
frozen_B_plate_zscore,Frozen DINOv2-B/14 + plate z-score,perturbation_retrieval,U2OS_compound,U2OS,compound,negcon_challenge,0.351109721442233,0.1303001418207603,1280,306
frozen_B_plate_zscore,Frozen DINOv2-B/14 + plate z-score,within_modality_matching,U2OS_compound,U2OS,compound,within_modality_matching,0.0747128527696795,0.0295198380582639,302,262
frozen_B_plate_zscore,Frozen DINOv2-B/14 + plate z-score,perturbation_retrieval,U2OS_crispr,U2OS,crispr,replicate_retrieval,0.0644587448822796,0.016159217352165,1280,305
frozen_B_plate_zscore,Frozen DINOv2-B/14 + plate z-score,perturbation_retrieval,U2OS_crispr,U2OS,crispr,negcon_challenge,0.2057381082717352,0.0850543635375471,1280,305
frozen_B_plate_zscore,Frozen DINOv2-B/14 + plate z-score,within_modality_matching,U2OS_crispr,U2OS,crispr,within_modality_matching,0.0517194196234779,0.011050061050061,290,145
frozen_B_plate_zscore,Frozen DINOv2-B/14 + plate z-score,perturbation_retrieval,U2OS_orf,U2OS,orf,replicate_retrieval,0.1491120107656519,0.0272569444444444,640,160
frozen_B_plate_zscore,Frozen DINOv2-B/14 + plate z-score,perturbation_retrieval,U2OS_orf,U2OS,orf,negcon_challenge,0.2935830169114628,0.1325892857142857,640,160
frozen_B_plate_zscore,Frozen DINOv2-B/14 + plate z-score,within_modality_matching,U2OS_orf,U2OS,orf,within_modality_matching,,,0,0
frozen_B_plate_zscore,Frozen DINOv2-B/14 + plate z-score,cross_modality_matching,U2OS_compound_to_crispr,U2OS,compound->crispr,cross_modality_matching,0.0319399706149472,0.0143692358366271,611,237
frozen_B_plate_zscore,Frozen DINOv2-B/14 + plate z-score,cross_modality_matching,U2OS_compound_to_orf,U2OS,compound->orf,cross_modality_matching,0.0427777094575663,0.0164022634153225,466,237
sample_proxy,Sample Proxy-CE head,perturbation_retrieval,A549_compound,A549,compound,replicate_retrieval,0.4650465124981022,0.3655874225533668,1280,306
sample_proxy,Sample Proxy-CE head,perturbation_retrieval,A549_compound,A549,compound,negcon_challenge,0.5680729914426859,0.4985380116959064,1280,306
sample_proxy,Sample Proxy-CE head,within_modality_matching,A549_compound,A549,compound,within_modality_matching,0.0887038713634148,0.0350046687012719,302,262
sample_proxy,Sample Proxy-CE head,perturbation_retrieval,A549_crispr,A549,crispr,replicate_retrieval,0.2126050583582614,0.3359412478964361,1280,305
sample_proxy,Sample Proxy-CE head,perturbation_retrieval,A549_crispr,A549,crispr,negcon_challenge,0.3234520480056272,0.3539107196627521,1280,305
sample_proxy,Sample Proxy-CE head,within_modality_matching,A549_crispr,A549,crispr,within_modality_matching,0.0544610529396424,0.0095246734397677,290,145
sample_proxy,Sample Proxy-CE head,perturbation_retrieval,A549_orf,A549,orf,replicate_retrieval,0.0728743724771748,0.0198064034639386,640,160
sample_proxy,Sample Proxy-CE head,perturbation_retrieval,A549_orf,A549,orf,negcon_challenge,0.1996184940707417,0.0972536450477626,640,160
sample_proxy,Sample Proxy-CE head,within_modality_matching,A549_orf,A549,orf,within_modality_matching,,,0,0
sample_proxy,Sample Proxy-CE head,cross_modality_matching,A549_compound_to_crispr,A549,compound->crispr,cross_modality_matching,0.0311309596923987,0.0165300546448087,611,237
sample_proxy,Sample Proxy-CE head,cross_modality_matching,A549_compound_to_orf,A549,compound->orf,cross_modality_matching,0.0324215540985868,0.0161595609232539,466,237
sample_proxy,Sample Proxy-CE head,perturbation_retrieval,U2OS_compound,U2OS,compound,replicate_retrieval,0.4195265517242932,0.3498409780578898,1280,306
sample_proxy,Sample Proxy-CE head,perturbation_retrieval,U2OS_compound,U2OS,compound,negcon_challenge,0.5102564515596661,0.415188427995805,1280,306
sample_proxy,Sample Proxy-CE head,within_modality_matching,U2OS_compound,U2OS,compound,within_modality_matching,0.0827826701453182,0.0303068298649844,302,262
sample_proxy,Sample Proxy-CE head,perturbation_retrieval,U2OS_crispr,U2OS,crispr,replicate_retrieval,0.2468193910688731,0.3372046639831674,1280,305
sample_proxy,Sample Proxy-CE head,perturbation_retrieval,U2OS_crispr,U2OS,crispr,negcon_challenge,0.3672766714374958,0.3651852269884965,1280,305
sample_proxy,Sample Proxy-CE head,within_modality_matching,U2OS_crispr,U2OS,crispr,within_modality_matching,0.0512874999305673,0.0112373737373737,290,145
sample_proxy,Sample Proxy-CE head,perturbation_retrieval,U2OS_orf,U2OS,orf,replicate_retrieval,0.1634247973574134,0.0309396175624245,640,160
sample_proxy,Sample Proxy-CE head,perturbation_retrieval,U2OS_orf,U2OS,orf,negcon_challenge,0.3056947070669785,0.1527777777777778,640,160
sample_proxy,Sample Proxy-CE head,within_modality_matching,U2OS_orf,U2OS,orf,within_modality_matching,,,0,0
sample_proxy,Sample Proxy-CE head,cross_modality_matching,U2OS_compound_to_crispr,U2OS,compound->crispr,cross_modality_matching,0.0290390303980546,0.014764996907854,611,237
sample_proxy,Sample Proxy-CE head,cross_modality_matching,U2OS_compound_to_orf,U2OS,compound->orf,cross_modality_matching,0.0279119078133315,0.0170375164591544,466,237
bio_target_proxy,Bio-target Proxy-CE head,perturbation_retrieval,A549_compound,A549,compound,replicate_retrieval,0.398666722628413,0.3395302305325439,1280,306
bio_target_proxy,Bio-target Proxy-CE head,perturbation_retrieval,A549_compound,A549,compound,negcon_challenge,0.5209198447879374,0.4187281835078652,1280,306
bio_target_proxy,Bio-target Proxy-CE head,within_modality_matching,A549_compound,A549,compound,within_modality_matching,0.5110120375883276,0.3759200649956952,302,262
bio_target_proxy,Bio-target Proxy-CE head,perturbation_retrieval,A549_crispr,A549,crispr,replicate_retrieval,0.169131213578281,0.1706146819515001,1280,305
