model,input_transform,condition,cell,modality,negcon_challenge,replicate_retrieval
dinov2-vitb14,negcon_zscore_l2,A549_compound,A549,compound,0.4793727988230022,0.2928922494483006
dinov2-vitb14,negcon_zscore_l2,A549_crispr,A549,crispr,0.2129309624458593,0.040602117017906
dinov2-vitb14,negcon_zscore_l2,A549_orf,A549,orf,0.1874991551854957,0.071623167810499
dinov2-vitb14,negcon_zscore_l2,U2OS_compound,U2OS,compound,0.3437609152598861,0.1926358891245144
dinov2-vitb14,negcon_zscore_l2,U2OS_crispr,U2OS,crispr,0.2070067150784783,0.0594223307749662
dinov2-vitb14,negcon_zscore_l2,U2OS_orf,U2OS,orf,0.2900271227146999,0.1485794681829763
dinov2-vitb14,plate_zscore_l2,A549_compound,A549,compound,0.4628240706479454,0.3110958447288482
dinov2-vitb14,plate_zscore_l2,A549_crispr,A549,crispr,0.183655036488551,0.0446735123243585
dinov2-vitb14,plate_zscore_l2,A549_orf,A549,orf,0.1853979627308599,0.0727646801628394
dinov2-vitb14,plate_zscore_l2,U2OS_compound,U2OS,compound,0.351109721442233,0.2151198507226736
dinov2-vitb14,plate_zscore_l2,U2OS_crispr,U2OS,crispr,0.2057381082717352,0.0644587448822796
dinov2-vitb14,plate_zscore_l2,U2OS_orf,U2OS,orf,0.2935830169114628,0.1491120107656519
dinov2-vitb14,raw_l2,A549_compound,A549,compound,0.3870268691767421,0.2912857581898741
dinov2-vitb14,raw_l2,A549_crispr,A549,crispr,0.1006307992708364,0.0274566178661469
dinov2-vitb14,raw_l2,A549_orf,A549,orf,0.1641616842963716,0.0592340058461145
dinov2-vitb14,raw_l2,U2OS_compound,U2OS,compound,0.3111030658743444,0.2247861636470537
dinov2-vitb14,raw_l2,U2OS_crispr,U2OS,crispr,0.1712417634771345,0.0532372715813329
dinov2-vitb14,raw_l2,U2OS_orf,U2OS,orf,0.2159961454983522,0.1166421557604533
dinov2-vits14,negcon_zscore_l2,A549_compound,A549,compound,0.4819260578145844,0.2894512253891713
dinov2-vits14,negcon_zscore_l2,A549_crispr,A549,crispr,0.2376853197396076,0.0405338577874526
dinov2-vits14,negcon_zscore_l2,A549_orf,A549,orf,0.2097667653345266,0.0766004311629711
dinov2-vits14,negcon_zscore_l2,U2OS_compound,U2OS,compound,0.3357009001655077,0.1848355441327319
dinov2-vits14,negcon_zscore_l2,U2OS_crispr,U2OS,crispr,0.2062511133929766,0.0601832745237184
dinov2-vits14,negcon_zscore_l2,U2OS_orf,U2OS,orf,0.2727648661682175,0.1379672884123732
dinov2-vits14,plate_zscore_l2,A549_compound,A549,compound,0.4699209354571635,0.311436108871365
dinov2-vits14,plate_zscore_l2,A549_crispr,A549,crispr,0.2003838721895077,0.0433958696290059
dinov2-vits14,plate_zscore_l2,A549_orf,A549,orf,0.2087277604443821,0.0774487568781607
dinov2-vits14,plate_zscore_l2,U2OS_compound,U2OS,compound,0.3445377709959384,0.2076943767891043
dinov2-vits14,plate_zscore_l2,U2OS_crispr,U2OS,crispr,0.2074223531660206,0.0630939878138508
dinov2-vits14,plate_zscore_l2,U2OS_orf,U2OS,orf,0.2757300286447804,0.1358336928101555
dinov2-vits14,raw_l2,A549_compound,A549,compound,0.3967629869598931,0.2895326032810333
dinov2-vits14,raw_l2,A549_crispr,A549,crispr,0.1161793121574348,0.028509818601348
dinov2-vits14,raw_l2,A549_orf,A549,orf,0.1733350831700297,0.0552124749778739
dinov2-vits14,raw_l2,U2OS_compound,U2OS,compound,0.307383543127066,0.2171049909709787
dinov2-vits14,raw_l2,U2OS_crispr,U2OS,crispr,0.1646370956525825,0.0521622975199538
dinov2-vits14,raw_l2,U2OS_orf,U2OS,orf,0.209562684884929,0.1073871829013295
