model,input_transform,condition,cell,modality,mean_ap,median_ap,n_queries
dinov2-vitb14,negcon_zscore_l2,A549_compound,A549,compound,0.0817749036227593,0.0297866863637141,302
dinov2-vitb14,negcon_zscore_l2,A549_crispr,A549,crispr,0.0590397231974335,0.0078125,290
dinov2-vitb14,negcon_zscore_l2,A549_orf,A549,orf,,,0
dinov2-vitb14,negcon_zscore_l2,U2OS_compound,U2OS,compound,0.0725709357466472,0.0256651604055192,302
dinov2-vitb14,negcon_zscore_l2,U2OS_crispr,U2OS,crispr,0.0517103399211278,0.0093466107617051,290
dinov2-vitb14,negcon_zscore_l2,U2OS_orf,U2OS,orf,,,0
dinov2-vitb14,plate_zscore_l2,A549_compound,A549,compound,0.0857540467357906,0.0333834480781853,302
dinov2-vitb14,plate_zscore_l2,A549_crispr,A549,crispr,0.0629281543483717,0.0078432578740157,290
dinov2-vitb14,plate_zscore_l2,A549_orf,A549,orf,,,0
dinov2-vitb14,plate_zscore_l2,U2OS_compound,U2OS,compound,0.0747128527696795,0.0295198380582639,302
dinov2-vitb14,plate_zscore_l2,U2OS_crispr,U2OS,crispr,0.0517194196234779,0.011050061050061,290
dinov2-vitb14,plate_zscore_l2,U2OS_orf,U2OS,orf,,,0
dinov2-vitb14,raw_l2,A549_compound,A549,compound,0.083790604819302,0.0321558995244817,302
dinov2-vitb14,raw_l2,A549_crispr,A549,crispr,0.0454053314646298,0.0081306187202538,290
dinov2-vitb14,raw_l2,A549_orf,A549,orf,,,0
dinov2-vitb14,raw_l2,U2OS_compound,U2OS,compound,0.0650686177769822,0.0263312492451629,302
dinov2-vitb14,raw_l2,U2OS_crispr,U2OS,crispr,0.0424717375208698,0.0096620612397311,290
dinov2-vitb14,raw_l2,U2OS_orf,U2OS,orf,,,0
dinov2-vits14,negcon_zscore_l2,A549_compound,A549,compound,0.0851813296585557,0.0291657575904046,302
dinov2-vits14,negcon_zscore_l2,A549_crispr,A549,crispr,0.0624561201473126,0.009090909090909,290
dinov2-vits14,negcon_zscore_l2,A549_orf,A549,orf,,,0
dinov2-vits14,negcon_zscore_l2,U2OS_compound,U2OS,compound,0.0750580704586178,0.0285842754367934,302
dinov2-vits14,negcon_zscore_l2,U2OS_crispr,U2OS,crispr,0.0401311926109958,0.0096638655462184,290
dinov2-vits14,negcon_zscore_l2,U2OS_orf,U2OS,orf,,,0
dinov2-vits14,plate_zscore_l2,A549_compound,A549,compound,0.0874708315890083,0.0313229936519343,302
dinov2-vits14,plate_zscore_l2,A549_crispr,A549,crispr,0.0628685747489251,0.0086213303604607,290
dinov2-vits14,plate_zscore_l2,A549_orf,A549,orf,,,0
dinov2-vits14,plate_zscore_l2,U2OS_compound,U2OS,compound,0.0748617989919985,0.0291524646222681,302
dinov2-vits14,plate_zscore_l2,U2OS_crispr,U2OS,crispr,0.0390908776444598,0.0112373737373737,290
dinov2-vits14,plate_zscore_l2,U2OS_orf,U2OS,orf,,,0
dinov2-vits14,raw_l2,A549_compound,A549,compound,0.0842271962060134,0.0307492509607504,302
dinov2-vits14,raw_l2,A549_crispr,A549,crispr,0.0497320274829862,0.0084389688078621,290
dinov2-vits14,raw_l2,A549_orf,A549,orf,,,0
dinov2-vits14,raw_l2,U2OS_compound,U2OS,compound,0.0678735168214508,0.0270799860104197,302
dinov2-vits14,raw_l2,U2OS_crispr,U2OS,crispr,0.040078603863825,0.0094339622641509,290
dinov2-vits14,raw_l2,U2OS_orf,U2OS,orf,,,0
